article, author, location, description, auther_link, article_link
El Congreso de EE UU examina a las tecnológicas: “No debemos inclinarnos ante los emperadores digitales”,Pablo Guimón,Washington,Los presidentes ejecutivos de Apple  Amazon  Google y Facebook declaran  juntos por primera vez ante el comité antimonopolio del Congreso de EE UU,https://elpais.com/autor/pablo-guimon/,https://elpais.com/tecnologia/2020-07-29/en-directo-amazon-apple-facebook-y-google-se-defienden-en-el-congreso-de-ee-uu.html
Bezos en el Congreso: el rito que el hombre más rico del mundo quiso evitar en su conquista de Washington,Pablo Guimón,Washington,El testimonio del jefe de Amazon ante los legisladores frustra su discreta estrategia de siete años de acercamiento a la capital del poder político estadounidense,https://elpais.com/autor/pablo-guimon/,https://elpais.com/tecnologia/2020-07-29/bezos-en-el-congreso-el-rito-que-el-hombre-mas-rico-del-mundo-quiso-evitar-en-su-conquista-de-washington.html
La mitad de las empresas españolas no usan inteligencia artificial ni piensan hacerlo,Montse Hidalgo Pérez,None,La falta de competencias y el coste de implementar estos sistemas es el principal obstáculo  de acuerdo con un informe de la Comisión Europea,https://elpais.com/autor/montserrat-hidalgo-perez/,https://elpais.com/tecnologia/2020/07/30/actualidad/1596102151_481699.html
Disminuye la atención y aumenta el estrés: el síndrome prevacacional también existe,M. Victoria S. Nadal,None,Muchos trabajadores sienten justo antes de irse de vacaciones dificultad para concentrarse  falta de atención y aumento de la ansiedad  especialmente aquellos que son autoexigentes,https://elpais.com/autor/maria-victoria-sanchez-nadal/,https://elpais.com/tecnologia/2020/07/30/actualidad/1596104611_484279.html
Oura: un médico y un entrenador en tu dedo,Isabel Rubio,None,La joya inteligente ha captado la atención de celebridades y deportistas al monitorizar el sueño  el ejercicio  el ritmo cardiaco y la temperatura corporal,https://elpais.com/autor/isabel-rubio-arroyo/,https://elpais.com/tecnologia/2020/07/30/actualidad/1596105142_753785.html
Inteligencia artificial para desatascar la justicia en Colombia,Catalina Oquendo,None,El máximo tribunal del país sudamericano lanza Pretoria  un sistema predictivo para agilizar los cientos de recursos que llegan cada día a sus jueces,https://elpais.com/autor/catalina-oquendo/,https://elpais.com/tecnologia/2020/07/30/actualidad/1596103169_151229.html
¿Al pueblo de vacaciones o a teletrabajar? Pistas para una mejor conexión desde zonas rurales,José Mendiola Zuriarrain,None,Las principales operadoras ofrecen mapas de cobertura actualizados constantemente para no llevarse sorpresas,https://elpais.com/autor/jose-mendiola-zuriarrain/,https://elpais.com/tecnologia/2020-07-27/al-pueblo-de-vacaciones-o-a-teletrabajar-pistas-para-una-mejor-conexion-desde-zonas-rurales.html
Garmin comienza a recuperar sus servicios tras el ciberataque que paralizó su actividad,Jorge G. García,Madrid,La aplicación Connect y la sincronización con otras ‘apps’  como Strava y Training Peaks funcionan de nuevo tras cuatro días de inactividad absoluta,https://elpais.com/autor/jorge-g-garcia/,https://elpais.com/tecnologia/2020-07-27/garmin-comienza-a-recuperar-sus-servicios-tras-el-ciberataque-que-paralizo-su-actividad.html
Cómo la guerra por los nombres cortos acabó en el mayor ‘hackeo’ de la historia de Twitter,Jordi Pérez Colomé,None,Las cuentas de uno o dos caracteres de determinadas redes sociales son un bien codiciado en foros underground,https://elpais.com/autor/jordi-perez-colome/,https://elpais.com/tecnologia/2020-07-25/como-la-guerra-por-los-nombres-cortos-llevo-al-mayor-hackeo-de-la-historia-de-twitter.html
Frank Pasquale: “El objetivo es tenernos tan ocupados en el trabajo que no nos preocupemos por la ética”,Miguel Ángel García Vega,None,El profesor de la Universidad de Maryland advierte de que algunos algoritmos pueden decidir el destino de trabajadores y empresarios o incluso devastar una economía entera,https://elpais.com/autor/miguel-angel-garcia-vega/,https://elpais.com/tecnologia/2020/07/27/actualidad/1595845780_144753.html
Yolanda Díaz: “El avance tecnológico no puede suponer un retroceso en las condiciones laborales al siglo XIX”,Miguel Ángel García Vega,None,La ministra de Trabajo y Economía Social reflexiona sobre la incorporación de los algoritmos y la inteligencia artificial a las relaciones laborales,https://elpais.com/autor/miguel-angel-garcia-vega/,https://elpais.com/tecnologia/2020/07/26/actualidad/1595749959_475964.html
‘Eyetracking’: prevenir contagios solo con la mirada,Jorge G. García,Madrid,La tecnología de seguimiento ocular permite una comunicación con el entorno sin necesidad de contacto físico y busca en la inteligencia artificial mejorar su uso,https://elpais.com/autor/jorge-g-garcia/,https://elpais.com/tecnologia/2020-07-24/eyetracking-prevenir-contagios-solo-con-la-mirada.html
Los reyes de la conspiración: por qué es difícil echar al misterioso movimiento QAnon de las redes,Jordi Pérez Colomé,None,Un post en un remoto foro en 2017 se ha convertido en el foco de innumerables teorías en internet y el FBI lo ha designado como peligro interno,https://elpais.com/autor/jordi-perez-colome/,https://elpais.com/tecnologia/2020-07-23/los-reyes-de-la-conspiracion-por-que-es-dificil-echar-al-misterioso-movimiento-qanon-de-las-redes.html
Rendir cuentas ante un algoritmo: cuando tu jefe es un robot,Miguel Ángel García Vega,None,La inteligencia artificial o las redes neuronales pueden crear un mejor espacio de trabajo o amplificar  si son mal empleadas  algunas de las peores cualidades del ser humano,https://elpais.com/autor/miguel-angel-garcia-vega/,https://elpais.com/tecnologia/2020/07/25/actualidad/1595665223_425026.html
La mitad de las empresas españolas no usan inteligencia artificial ni piensan hacerlo,Montse Hidalgo Pérez,None,La falta de competencias y el coste de implementar estos sistemas es el principal obstáculo  de acuerdo con un informe de la Comisión Europea,https://elpais.com/autor/montserrat-hidalgo-perez/,https://elpais.com/tecnologia/2020/07/30/actualidad/1596102151_481699.html
Disminuye la atención y aumenta el estrés: el síndrome prevacacional también existe,M. Victoria S. Nadal,None,Muchos trabajadores sienten justo antes de irse de vacaciones dificultad para concentrarse  falta de atención y aumento de la ansiedad  especialmente aquellos que son autoexigentes,https://elpais.com/autor/maria-victoria-sanchez-nadal/,https://elpais.com/tecnologia/2020/07/30/actualidad/1596104611_484279.html
Oura: un médico y un entrenador en tu dedo,Isabel Rubio,None,La joya inteligente ha captado la atención de celebridades y deportistas al monitorizar el sueño  el ejercicio  el ritmo cardiaco y la temperatura corporal,https://elpais.com/autor/isabel-rubio-arroyo/,https://elpais.com/tecnologia/2020/07/30/actualidad/1596105142_753785.html
Inteligencia artificial para desatascar la justicia en Colombia,Catalina Oquendo,None,El máximo tribunal del país sudamericano lanza Pretoria  un sistema predictivo para agilizar los cientos de recursos que llegan cada día a sus jueces,https://elpais.com/autor/catalina-oquendo/,https://elpais.com/tecnologia/2020/07/30/actualidad/1596103169_151229.html
Frank Pasquale: “El objetivo es tenernos tan ocupados en el trabajo que no nos preocupemos por la ética”,Miguel Ángel García Vega,None,El profesor de la Universidad de Maryland advierte de que algunos algoritmos pueden decidir el destino de trabajadores y empresarios o incluso devastar una economía entera,https://elpais.com/autor/miguel-angel-garcia-vega/,https://elpais.com/tecnologia/2020/07/27/actualidad/1595845780_144753.html
Alta fidelidad para salvar un santuario de la música alternativa,Roger Sabatés,None,El Estraperlo Club de Badalona celebró en mayo el primer concierto en una sala en España tras el confinamiento. El compromiso de sus clientes  que han aportado cerca de 35.000 euros al local  es la única esperanza para superar el golpe económico de la pandemia,https://elpais.com/autor/roger-sabates-ortega/,https://elpais.com/tecnologia/acciones-con-alma/2020-07-09/alta-fidelidad-para-salvar-un-santuario-de-la-musica-alternativa.html
La pareja que cocinó gratis y reinventó su negocio,Pablo Vande Rusten,None,A punto de perder su local de gastronomía sostenible durante el confinamiento  esta australiana y este italiano apostaron todo a una ecuación: clases de cocina en línea a cambio de donaciones a voluntad vía plataformas de pago. Funcionó,https://elpais.com/autor/pablo-vande-rusten/,https://elpais.com/tecnologia/acciones-con-alma/2020-07-08/la-pareja-que-cocino-gratis-y-reinvento-su-negocio.html
Todo lo que el 5G puede hacer por ti,PABLO B. GARCÍA,None,El 5G es mucho más rápido  reduce la latencia y permite tener conectado un número mucho mayor de dispositivos. Pero  ¿en qué se notarán estas mejoras en tu vida cotidiana? Hacemos un repaso de los campos donde el usuario medio disfrutará de los beneficios de esta tecnología.,None,https://elpais.com/tecnologia/con-proposito/2020-07-08/todo-lo-que-el-5g-puede-hacer-por-ti.html
Cinco cosas en las que fijarte al comprar un televisor para videojuegos,PABLO B. GARCÍA,None,Atravesar las calles del Grand Theft Auto con tu nuevo superdeportivo o marcar un gol en el FIFA cuando quedan pocos segundos para el final del partido se disfruta más en una pantalla grande. Pero no todos los televisores son aptos para una buena experiencia ‘gaming’,None,https://elpais.com/tecnologia/con-proposito/2020-06-30/cinco-cosas-en-las-que-fijarte-al-comprar-un-televisor-para-videojuegos.html
El futuro de las energías renovables  a debate,El País,Madrid,El encuentro ‘Renovables  una salida a la crisis’  organizado por EL PAÍS con la colaboración de Acciona  aborda las perspectivas para el sector,https://elpais.com/autor/el-pais/,https://elpais.comhttps://elpais.com/noticias/crisis-economica-coronavirus-covid-19/
Aire acondicionado: descubre lo que hay detrás de los mejores sistemas,R.D.,None,Los sistemas de climatización han dado un salto tecnológico al incluir un novedoso sistema de filtrado capaz de neutralizar los contaminantes del aire como polvo  bacterias y virus,None,https://elpais.com/tecnologia/2020-06-22/aire-acondicionado-descubre-lo-que-hay-detras-de-los-mejores-sistemas.html
